  n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 76,          1706,            1635,           3989,       2850,         1635,        4985,      707,        407,       997,       712,         165,        998
 77,          1710,            1638,           2991,       2926,         1638,        3988,      725,        414,       998,       627,         177,          0
 78,          1746,            1673,           3989,       3003,         1673,        4985,      732,        419,       997,       627,         176,          0
 79,          1814,            1740,           2992,       3081,         1740,        3988,      753,        426,       997,       617,         186,          0
 80,          1819,            1744,           2992,       3160,         1744,        5984,      760,        434,       998,       650,         179,        998
 81,          1859,            1783,           1993,       3240,         1783,        3988,      777,        439,         0,       731,         176,        997
 82,          1882,            1805,           5011,       3321,         1805,        3964,      791,        451,       996,       735,         183,        997
 83,          1933,            1855,           2992,       3403,         1855,        7978,      798,        449,         0,       809,         180,          0
 84,          1938,            1859,           2991,       3486,         1859,        3989,      809,        461,       996,       696,         186,        997
 85,          1983,            1903,           1994,       3570,         1903,        6981,      827,        473,       996,       689,         190,        997
 86,          2010,            1929,           3990,       3655,         1929,        5983,      835,        471,         0,       770,         194,        997
 87,          2055,            1973,           2991,       3741,         1973,        3989,      858,        485,       997,       740,         195,       1996
 88,          2094,            2011,           2990,       3828,         2011,        3989,      862,        493,       997,       778,         200,        998
 89,          2130,            2046,           2991,       3916,         2046,        3989,      877,        496,       997,       710,         203,        997
 90,          2185,            2100,           2992,       4005,         2100,        4986,      892,        508,         0,       773,         201,        997
 91,          2198,            2112,           2991,       4095,         2112,        9973,      906,        512,       997,       857,         208,        997
 92,          2212,            2125,           4986,       4186,         2125,        8975,      919,        521,       998,       905,         210,       1994
 93,          2255,            2167,           5984,       4278,         2167,        7978,      925,        523,      1996,       759,         215,        995
 94,          2295,            2206,           4986,       4371,         2206,        5984,      942,        530,       997,       873,         208,        998
 95,          2303,            2213,           5983,       4465,         2213,        6980,      958,        539,       996,       876,         218,        997
 96,          2379,            2288,           5984,       4560,         2288,        6981,      969,        546,      1994,       887,         214,        997
 97,          2421,            2329,           3989,       4656,         2329,        4986,      985,        557,       997,       946,         218,        998
 98,          2517,            2424,           3988,       4753,         2424,        5983,      997,        564,      1994,       920,         227,        998
 99,          2602,            2508,           4017,       4851,         2508,        7950,     1011,        570,      2038,       890,         227,        953
100,          2664,            2569,           3989,       4950,         2569,        6981,     1019,        577,      2992,      1060,         235,        997
