   n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 392,      76636,        37795,       89759,         38182,           37795,          62832,     5535,       3041,      5983,      5596,        1109,      14960
 393,      77028,        38111,       90756,         38499,           38111,          64827,     5551,       3047,      4986,      5627,        1094,      13978
 394,      77421,        38428,       91738,         38817,           38428,          65834,     5580,       3051,      4983,      5558,        1095,      13964
 395,      77815,        38763,       91754,         39153,           38763,          66821,     5575,       3043,      5984,      5724,        1073,      13962
 396,      78210,        38868,       93750,         39259,           38868,          66821,     5604,       3059,      4985,      5747,        1120,      14960
 397,      78606,        39170,       93749,         39562,           39170,          66821,     5607,       3054,      5009,      5624,        1099,      14937
 398,      79003,        39562,       91752,         39955,           39562,          66822,     5642,       3088,      4986,      6173,        1086,      14960
 399,      79401,        39858,       94745,         40252,           39858,          67818,     5657,       3104,      5984,      5965,        1097,      14960
 400,      79800,        40118,       94745,         40513,           40118,          67819,     5681,       3108,      5984,      5740,        1110,      14990
 401,      80200,        40238,       94713,         40634,           40238,          67818,     5701,       3111,      5984,      5617,        1127,      14959
 402,      80601,        40320,       93750,         40717,           40320,          68794,     5714,       3125,      5984,      5701,        1127,      14958
 403,      81003,        40553,       95744,         40951,           40553,          67817,     5741,       3134,      5986,      5943,        1117,      15002
 404,      81406,        40956,       96695,         41354,           40956,          69814,     5734,       3135,      4966,      6298,        1093,      15956
 405,      81810,        40963,       97738,         41362,           40963,          70810,     5750,       3149,      5984,      5882,        1106,      14959
 406,      82215,        41031,       98736,         41431,           41031,          69813,     5784,       3161,      4985,      5762,        1146,      14960
 407,      82621,        41108,       97738,         41509,           41108,          68814,     5789,       3155,      5984,      5803,        1137,      15957
 408,      83028,        41426,       97738,         41828,           41426,          70816,     5813,       3169,      4987,      5944,        1112,      15956
 409,      83436,        41728,       99733,         42131,           41728,          71824,     5823,       3177,      5968,      6014,        1144,      15963
 410,      83845,        42071,       99726,         42475,           42071,          71807,     5871,       3213,      5983,      6218,        1119,      14960
 411,      84255,        42466,      100730,         42871,           42466,          73803,     5835,       3188,      5984,      6208,        1129,      14958
 412,           ,             ,            ,         43063,           42657,          72790,     5869,       3201,      5984,      5924,        1175,      14983
 413,           ,             ,            ,         43172,           42765,          74799,     5880,       3202,      4975,      6057,        1129,      15957
 414,           ,             ,            ,         43199,           42791,          72787,     5906,       3227,      5983,      6106,        1136,      15979
 415,           ,             ,            ,         43481,           43072,          73807,     5927,       3227,      4985,      6133,        1144,      15968
 416,           ,             ,            ,         43544,           43134,          73788,     5943,       3241,      5983,      5924,        1138,      15957
 417,           ,             ,            ,         43648,           43237,          75797,     5970,       3276,      5984,      5987,        1145,      15956
 418,           ,             ,            ,         43872,           43460,          74813,     5980,       3257,      5969,      6200,        1141,      15965
 419,           ,             ,            ,         43979,           43566,          74792,     5994,       3273,      5982,      6148,        1140,      15958
 420,           ,             ,            ,         44099,           43685,          74818,     6008,       3287,      5984,      6026,        1172,      15956
 421,           ,             ,            ,         44243,           43828,          75825,     6043,       3313,      5955,      6016,        1187,      16954
 422,           ,             ,            ,         44443,           44027,          76793,     6067,       3309,      5984,      6464,        1152,      15972
