    n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   75,       2775,         1631,        4966,          1699,            1631,           3979,      696,        393,       998,       773,         176,       1993
   76,       2850,         1691,        3989,          1760,            1691,           3989,      709,        397,       996,       795,         178,        999
   77,       2926,         1736,        3987,          1806,            1736,           2992,      718,        400,       997,       798,         185,        997
   78,       3003,         1739,        3988,          1810,            1739,           2992,      735,        411,         0,       820,         182,        995
   79,       3081,         1765,        3989,          1837,            1765,           3035,      750,        429,         0,       817,         182,       1950
   80,       3160,         1806,        3004,          1879,            1806,           3978,      761,        428,         0,       867,         187,       1994
   81,       3240,         1833,        3988,          1907,            1833,           2991,      773,        433,       997,       834,         180,        997
   82,       3321,         1858,        3989,          1933,            1858,           2993,      783,        442,         0,       817,         181,        984
   83,       3403,         1860,        3990,          1936,            1860,           2991,      796,        452,      1012,       942,         189,        982
   84,       3486,         1903,        3989,          1980,            1903,           2988,      808,        457,       998,       917,         193,        997
   85,       3570,         1972,        3989,          2050,            1972,           3989,      823,        464,       998,       913,         195,        997
   86,       3655,         1974,        4985,          2053,            1974,           3011,      832,        472,       981,       938,         187,        994
   87,       3741,         2009,        4991,          2089,            2009,           3006,      852,        473,       993,       918,         202,        982
   88,       3828,         2048,        3991,          2129,            2048,           3970,      869,        486,       997,       921,         204,        998
   89,       3916,         2109,        4986,          2191,            2109,           4029,      879,        491,         0,       901,         203,       1984
   90,       4005,         2187,        4956,          2270,            2187,           3013,      890,        501,      1015,       975,         210,       1955
   91,       4095,         2239,        4986,          2323,            2239,           3990,      901,        503,       996,       955,         215,        997
   92,       4186,         2248,        4987,          2333,            2248,           4006,      919,        522,       980,       999,         225,       1993
   93,       4278,         2314,        4987,          2400,            2314,           3998,      922,        518,       991,      1029,         223,       1021
   94,       4371,         2338,        4998,          2425,            2338,           3971,      933,        520,       997,      1012,         213,       1009
   95,       4465,         2366,        5972,          2454,            2366,           3989,      945,        528,         0,      1006,         216,       1996
   96,       4560,         2453,        5985,          2542,            2453,           3987,      971,        547,       998,      1104,         220,        996
   97,       4656,         2540,        4983,          2630,            2540,           4987,      985,        552,      1025,      1110,         223,        971
   98,       4753,         2604,        5981,          2695,            2604,           4986,      990,        554,       997,      1085,         234,       1005
   99,       4851,         2618,        5976,          2710,            2618,           5006,      999,        556,       975,      1127,         234,       1000
  100,       4950,         2704,        5982,          2797,            2704,           4986,     1017,        572,       997,      1089,         238,       1994
  101,       5050,         2717,        6001,          2811,            2717,           4968,     1032,        577,       998,      1156,         237,       1015
  102,       5151,         2775,        5983,          2870,            2775,           4986,     1053,        593,       998,      1095,         243,       1994
  103,       5253,         2808,        6982,          2904,            2808,           4021,     1059,        596,       964,      1224,         245,       1994
  104,       5356,         2882,        6981,          2979,            2882,           5004,     1071,        602,       980,      1144,         246,        996
  105,       5460,         2985,        6981,          3083,            2985,           4986,     1086,        611,       997,      1212,         245,       1994
  106,       5565,         3011,        6981,          3110,            3011,           4986,     1097,        623,       997,      1206,         247,       1994
  107,       5671,         3099,        6980,          3199,            3099,           4986,     1101,        617,       997,      1181,         261,       1994
  108,       5778,         3137,        6981,          3238,            3137,           4986,     1127,        629,       997,      1177,         255,       1994
  109,       5886,         3231,        6982,          3333,            3231,           6007,     1124,        633,       974,      1239,         255,       2012
  110,       5995,         3269,        6964,          3372,            3269,           5983,     1128,        635,       998,      1229,         255,       1993
  111,       6105,         3353,        6981,          3457,            3353,           5984,     1149,        645,      1994,      1333,         262,        998
  112,       6216,         3464,        7977,          3568,            3464,           5984,     1157,        652,      1015,      1308,         258,       1976
  113,       6328,         3498,        7977,          3603,            3498,           5984,     1186,        666,       997,      1237,         260,       1994
  114,       6441,         3520,        7986,          3626,            3520,           5975,     1197,        676,       998,      1340,         273,       2003
  115,       6555,         3631,        7969,          3738,            3631,           6981,     1212,        687,       998,      1262,         265,       2008
  116,       6670,         3693,        7963,          3801,            3693,           5985,     1225,        691,      1995,      1420,         277,       2020
  117,       6786,         3711,        7982,          3820,            3711,           5954,     1241,        703,      1994,      1325,         269,        996
  118,       6903,         3802,        7977,          3912,            3802,           5984,     1248,        702,       996,      1325,         279,       1994
  119,       7021,         3845,        8974,          3956,            3845,           5984,     1255,        707,       997,      1372,         280,       1994
  120,       7140,         3964,        8976,          4075,            3964,           6981,     1264,        714,       997,      1365,         284,       1994
  121,       7260,         3991,        7978,          4103,            3991,           6982,     1283,        719,       998,      1382,         290,       1994
  122,       7381,         4105,        8975,          4218,            4105,           6980,     1299,        731,      1994,      1369,         297,       1994
  123,       7503,         4190,        8975,          4304,            4190,           6981,     1306,        738,       997,      1361,         293,       1994
  124,       7626,         4206,        8975,          4321,            4206,           5983,     1324,        748,      1994,      1473,         301,       1994
  125,       7750,         4236,        9973,          4352,            4236,           6981,     1339,        754,       997,      1479,         306,       1994
  126,       7875,         4346,        8975,          4463,            4346,           7979,     1351,        758,       997,      1507,         308,       1994
  127,       8001,         4446,        9973,          4564,            4446,           7978,     1370,        764,       997,      1474,         317,       1994
  128,       8128,         4504,        9972,          4623,            4504,           7978,     1377,        770,       997,      1485,         313,       1994
  129,       8256,         4584,       10971,          4704,            4584,           7978,     1402,        792,       998,      1519,         320,       1994
  130,       8385,         4703,       11967,          4824,            4703,           7978,     1416,        789,       997,      1500,         315,       2991
  131,       8515,         4821,       10972,          4943,            4821,           7977,     1429,        803,       997,      1589,         321,       2991
  132,       8646,         4885,        9973,          5008,            4885,           7978,     1436,        805,       998,      1592,         316,       1993
  133,       8778,         4963,        9974,          5087,            4963,           8975,     1449,        809,       999,      1541,         324,       2020
  134,       8911,         5084,       11942,          5209,            5084,           8003,     1462,        810,      1968,      1486,         321,       1994
  135,       9045,         5134,       11968,          5260,            5134,           8976,     1483,        822,       997,      1522,         329,       2006
  136,       9180,         5155,       11956,          5282,            5155,           8973,     1491,        825,       997,      1575,         331,       2991
  137,       9316,         5203,       10972,          5331,            5203,           8975,     1500,        833,      1994,      1577,         327,       1994
  138,       9453,         5290,       11966,          5419,            5290,           8980,     1522,        850,      1998,      1627,         344,       3982
  139,       9591,         5291,       15956,          5421,            5291,           8976,     1542,        855,       997,      1623,         345,       1994
